	f4_H	f3_CA	f2_N	f1_CB	C	Intensity
321	8.174	55.83	111.23	65.04	172.5	639485760.0
322	8.174	55.83	111.23	65.79	172.5	579983808.0
323	8.174	55.83	111.98	62.79	172.5	293472192.0
324	8.174	55.83	111.98	63.54	172.5	830998272.0
325	8.174	55.83	111.98	64.294	172.5	1073234432.0
326	8.174	55.83	111.98	65.04	172.5	729745984.0
327	8.174	55.83	111.98	65.79	172.5	532407200.0
328	8.174	55.83	112.726	62.79	172.5	374012352.0
329	8.174	55.83	112.726	63.54	172.5	703967104.0
330	8.174	55.83	112.726	64.294	172.5	1011241280.0
331	8.174	55.83	112.726	65.04	172.5	933576576.0
332	8.174	55.83	112.726	65.79	172.5	574013184.0
333	8.174	55.83	113.48	62.79	172.5	493394240.0
334	8.174	55.83	113.48	63.54	172.5	780581056.0
335	8.174	55.83	113.48	64.294	172.5	1223284480.0
336	8.174	55.83	113.48	65.04	172.5	1124761472.0
337	8.174	55.83	113.48	65.79	172.5	711817280.0
338	8.174	55.83	114.23	62.79	172.5	533824864.0
339	8.174	55.83	114.23	63.54	172.5	842761152.0
340	8.174	55.83	114.23	64.294	172.5	1515241216.0
341	8.174	55.83	114.23	65.04	172.5	1402732800.0
342	8.174	55.83	114.23	65.79	172.5	903290752.0
343	8.174	55.83	114.98	62.79	172.5	733734656.0
344	8.174	55.83	114.98	63.54	172.5	1091304320.0
345	8.174	55.83	114.98	64.294	172.5	1743037696.0
346	8.174	55.83	114.98	65.04	172.5	1582123904.0
347	8.174	55.83	114.98	65.79	172.5	984080128.0
348	8.174	56.23	110.48	62.79	172.5	217112288.0
349	8.174	56.23	110.48	63.54	172.5	270798848.0
350	8.174	56.23	110.48	64.294	172.5	371796128.0
351	8.174	56.23	110.48	65.04	172.5	409919584.0
352	8.174	56.23	110.48	65.79	172.5	362309152.0
353	8.174	56.23	111.23	62.79	172.5	223414000.0
354	8.174	56.23	111.23	63.54	172.5	348411552.0
355	8.174	56.23	111.23	64.294	172.5	444342880.0
356	8.174	56.23	111.23	65.04	172.5	555212096.0
357	8.174	56.23	111.23	65.79	172.5	497081568.0
358	8.174	56.23	111.98	62.79	172.5	219541008.0
359	8.174	56.23	111.98	63.54	172.5	477418656.0
360	8.174	56.23	111.98	64.294	172.5	723265728.0
361	8.174	56.23	111.98	65.04	172.5	663558016.0
362	8.174	56.23	111.98	65.79	172.5	474727552.0
363	8.174	56.23	112.726	62.79	172.5	280383392.0
364	8.174	56.23	112.726	63.54	172.5	472832960.0
365	8.174	56.23	112.726	64.294	172.5	799022976.0
366	8.174	56.23	112.726	65.04	172.5	879241920.0
367	8.174	56.23	112.726	65.79	172.5	609355904.0
368	8.174	56.23	113.48	62.79	172.5	341882592.0
369	8.174	56.23	113.48	63.54	172.5	502369440.0
370	8.174	56.23	113.48	64.294	172.5	898883776.0
371	8.174	56.23	113.48	65.04	172.5	946561792.0
372	8.174	56.23	113.48	65.79	172.5	742048832.0
373	8.174	56.23	114.23	62.79	172.5	392249280.0
374	8.174	56.23	114.23	63.54	172.5	545322816.0
375	8.174	56.23	114.23	64.294	172.5	1129807104.0
376	8.174	56.23	114.23	65.04	172.5	1211467648.0
377	8.174	56.23	114.23	65.79	172.5	931832512.0
378	8.174	56.23	114.98	62.79	172.5	623093888.0
379	8.174	56.23	114.98	63.54	172.5	710900544.0
380	8.174	56.23	114.98	64.294	172.5	1377127808.0
381	8.174	56.23	114.98	65.04	172.5	1414558976.0
382	8.174	56.23	114.98	65.79	172.5	1130805888.0
383	8.67	53.83	113.48	63.54	172.5	330199904.0
384	8.67	53.83	113.48	64.294	172.5	311328352.0
385	8.67	53.83	114.23	63.54	172.5	343435424.0
386	8.67	53.83	114.23	64.294	172.5	270689376.0
387	8.67	53.83	114.98	62.79	172.5	242562912.0
388	8.67	53.83	114.98	63.54	172.5	304395616.0
389	8.67	53.83	114.98	64.294	172.5	333896320.0
390	8.67	53.83	114.98	65.04	172.5	223689792.0
391	8.67	54.23	111.23	63.54	172.5	219109392.0
392	8.67	54.23	111.98	63.54	172.5	258100912.0
393	8.67	54.23	112.726	63.54	172.5	317510112.0
394	8.67	54.23	112.726	64.294	172.5	357707520.0
395	8.67	54.23	113.48	62.79	172.5	288382112.0
396	8.67	54.23	113.48	63.54	172.5	715773440.0
397	8.67	54.23	113.48	64.294	172.5	663964480.0
398	8.67	54.23	113.48	65.04	172.5	240427088.0
399	8.67	54.23	114.23	62.79	172.5	296754080.0
400	8.67	54.23	114.23	63.54	172.5	747317312.0
401	8.67	54.23	114.23	64.294	172.5	723090560.0
402	8.67	54.23	114.23	65.04	172.5	277972992.0
403	8.67	54.23	114.98	62.79	172.5	324318880.0
404	8.67	54.23	114.98	63.54	172.5	700910336.0
405	8.67	54.23	114.98	64.294	172.5	660936128.0
406	8.67	54.23	114.98	65.04	172.5	302102272.0
407	8.67	54.63	110.48	63.54	172.5	398828608.0
408	8.67	54.63	110.48	64.294	172.5	473067904.0
409	8.67	54.63	111.23	63.54	172.5	435625056.0
410	8.67	54.63	111.23	64.294	172.5	492880320.0
