	f4	f3	f2	f1	C	Intensity
170	8.047	56.62	118.4	62.96	172.355	1304091904.0
171	8.047	56.62	118.4	63.71	172.355	995717120.0
172	8.047	56.62	118.4	64.46	172.355	768048384.0
173	8.047	56.62	119.15	62.96	172.355	605059520.0
174	8.047	56.62	119.15	64.46	172.355	524524032.0
175	8.047	57.03	115.4	64.46	172.355	554913280.0
176	8.047	57.03	116.15	64.46	172.355	566010368.0
177	8.047	57.03	116.9	64.46	172.355	543741056.0
178	8.047	57.03	117.65100000000001	62.96	172.355	646359168.0
179	8.047	57.03	117.65100000000001	63.71	172.355	567993472.0
180	8.047	57.03	117.65100000000001	64.46	172.355	540904768.0
181	8.047	57.03	118.4	62.96	172.355	590674752.0
182	8.047	57.03	118.4	63.71	172.355	636916480.0
183	8.047	57.03	118.4	64.46	172.355	520215520.0
184	8.45	54.62	115.4	62.21	172.355	509220512.0
185	8.45	54.62	115.4	62.96	172.355	661919808.0
186	8.45	54.62	115.4	63.71	172.355	1658342528.0
187	8.45	54.62	115.4	64.46	172.355	1658364032.0
188	8.45	54.62	116.15	62.96	172.355	868063744.0
189	8.45	54.62	116.15	63.71	172.355	2064766080.0
190	8.45	54.62	116.15	64.46	172.355	2014771200.0
191	8.45	54.62	116.9	62.96	172.355	728395648.0
192	8.45	54.62	116.9	63.71	172.355	1802588416.0
193	8.45	54.62	116.9	64.46	172.355	2055317632.0
194	8.45	54.62	117.65100000000001	62.96	172.355	501208928.0
195	8.45	54.62	117.65100000000001	63.71	172.355	1439954432.0
196	8.45	54.62	117.65100000000001	64.46	172.355	1711777792.0
197	8.45	54.62	118.4	63.71	172.355	1290010368.0
198	8.45	54.62	118.4	64.46	172.355	1264940032.0
199	8.45	54.62	119.15	62.96	172.355	600183104.0
200	8.45	54.62	119.15	63.71	172.355	939467328.0
201	8.45	54.62	119.15	64.46	172.355	942221760.0
202	8.45	54.62	119.9	63.71	172.355	639587328.0
203	8.45	54.62	119.9	64.46	172.355	657463232.0
204	8.45	55.03	115.4	62.21	172.355	819432384.0
205	8.45	55.03	115.4	62.96	172.355	944601792.0
206	8.45	55.03	115.4	63.71	172.355	2306543360.0
207	8.45	55.03	115.4	64.46	172.355	2699233280.0
208	8.45	55.03	116.15	61.46	172.355	500289632.0
209	8.45	55.03	116.15	62.21	172.355	801547776.0
210	8.45	55.03	116.15	62.96	172.355	1156746240.0
211	8.45	55.03	116.15	63.71	172.355	2893341184.0
212	8.45	55.03	116.15	64.46	172.355	3349187584.0
213	8.45	55.03	116.9	62.96	172.355	854371904.0
214	8.45	55.03	116.9	63.71	172.355	2607862528.0
215	8.45	55.03	116.9	64.46	172.355	3430199040.0
216	8.45	55.03	117.65100000000001	63.71	172.355	2179515392.0
217	8.45	55.03	117.65100000000001	64.46	172.355	2932262400.0
218	8.45	55.03	118.4	63.71	172.355	1949382272.0
219	8.45	55.03	118.4	64.46	172.355	2297565696.0
220	8.45	55.03	119.15	63.71	172.355	1544785920.0
221	8.45	55.03	119.15	64.46	172.355	1825910016.0
222	8.45	55.03	119.9	63.71	172.355	935696448.0
223	8.45	55.03	119.9	64.46	172.355	1241942144.0
224	8.45	55.43	115.4	62.21	172.355	694334144.0
225	8.45	55.43	115.4	62.96	172.355	882722240.0
226	8.45	55.43	115.4	63.71	172.355	1897313792.0
227	8.45	55.43	115.4	64.46	172.355	2739542272.0
228	8.45	55.43	116.15	61.46	172.355	507014432.0
229	8.45	55.43	116.15	62.21	172.355	888619264.0
230	8.45	55.43	116.15	62.96	172.355	1134212096.0
231	8.45	55.43	116.15	63.71	172.355	2509897472.0
232	8.45	55.43	116.15	64.46	172.355	3445575424.0
233	8.45	55.43	116.9	62.21	172.355	520964608.0
234	8.45	55.43	116.9	62.96	172.355	974996736.0
235	8.45	55.43	116.9	63.71	172.355	2507517440.0
236	8.45	55.43	116.9	64.46	172.355	3744180992.0
237	8.45	55.43	117.65100000000001	62.21	172.355	537513920.0
238	8.45	55.43	117.65100000000001	62.96	172.355	536938496.0
239	8.45	55.43	117.65100000000001	63.71	172.355	2343648512.0
240	8.45	55.43	117.65100000000001	64.46	172.355	3501673728.0
241	8.45	55.43	118.4	63.71	172.355	2162104064.0
242	8.45	55.43	118.4	64.46	172.355	2955677440.0
243	8.45	55.43	119.15	63.71	172.355	1638739200.0
244	8.45	55.43	119.15	64.46	172.355	2469765120.0
245	8.45	55.43	119.9	63.71	172.355	954856000.0
246	8.45	55.43	119.9	64.46	172.355	1794814976.0
247	8.45	55.825	115.4	62.96	172.355	641075200.0
248	8.45	55.825	115.4	63.71	172.355	1072212096.0
249	8.45	55.825	115.4	64.46	172.355	1939324928.0
250	8.45	55.825	116.15	62.21	172.355	613307328.0
251	8.45	55.825	116.15	62.96	172.355	823366720.0
252	8.45	55.825	116.15	63.71	172.355	1487090048.0
253	8.45	55.825	116.15	64.46	172.355	2425476352.0
254	8.45	55.825	116.9	62.21	172.355	506795776.0
255	8.45	55.825	116.9	62.96	172.355	850032640.0
256	8.45	55.825	116.9	63.71	172.355	1718101120.0
257	8.45	55.825	116.9	64.46	172.355	2849685760.0
258	8.45	55.825	117.65100000000001	62.21	172.355	550883392.0
259	8.45	55.825	117.65100000000001	62.96	172.355	522189728.0
260	8.45	55.825	117.65100000000001	63.71	172.355	1821497856.0
261	8.45	55.825	117.65100000000001	64.46	172.355	3007452160.0
262	8.45	55.825	118.4	62.21	172.355	499978688.0
263	8.45	55.825	118.4	63.71	172.355	1669246208.0
264	8.45	55.825	118.4	64.46	172.355	2620349696.0
265	8.45	55.825	119.15	63.71	172.355	1112148608.0
266	8.45	55.825	119.15	64.46	172.355	2198521600.0
267	8.45	55.825	119.9	63.71	172.355	689585536.0
268	8.45	55.825	119.9	64.46	172.355	1666284416.0
269	8.45	56.23	115.4	63.71	172.355	650497088.0
270	8.45	56.23	115.4	64.46	172.355	1105110272.0
271	8.45	56.23	116.15	63.71	172.355	772598400.0
272	8.45	56.23	116.15	64.46	172.355	1332292608.0
273	8.45	56.23	116.9	63.71	172.355	917457536.0
274	8.45	56.23	116.9	64.46	172.355	1561899136.0
275	8.45	56.23	117.65100000000001	63.71	172.355	1071374784.0
276	8.45	56.23	117.65100000000001	64.46	172.355	1806059904.0
277	8.45	56.23	118.4	63.71	172.355	945572672.0
278	8.45	56.23	118.4	64.46	172.355	1564705920.0
279	8.45	56.23	119.15	63.71	172.355	591496896.0
280	8.45	56.23	119.15	64.46	172.355	1278664448.0
281	8.45	56.23	119.9	64.46	172.355	942677824.0
282	8.45	56.62	115.4	63.71	172.355	603179136.0
